player_id,total_wagered,betting_frequency,wins,losses,average_bet,win_rate,risk_profile
player1,78962,1,18,5,3410,0.21510119657885785,medium
player2,90305,2,13,8,2052,0.6608385246321652,high
player3,70336,36,19,9,4509,0.5202093160450075,low
player4,22815,16,7,8,648,0.31199074627427326,medium
player5,65345,2,4,5,2299,0.24535533001305976,medium
player6,36018,41,15,4,1983,0.39795964288074737,high
player7,1732,41,15,12,2082,0.5241444983376506,medium
player8,2777,22,14,13,3565,0.49368962882776735,low
player9,49517,25,9,7,3122,0.31249377697841374,low
player10,37471,8,5,1,1503,0.6556883575179289,medium
player11,29259,31,15,6,2568,0.23302902104547107,high
player12,95584,37,7,9,2534,0.20018742271083811,medium
player13,31850,14,4,0,1627,0.8955423724472681,high
player14,21374,43,2,18,2066,0.14572908526191364,medium
player15,67709,25,8,12,1276,0.8498680607529447,low
player16,52498,32,5,3,921,0.4457374444658284,low
player17,93253,1,9,8,3865,0.15371351200910532,medium
player18,13094,9,11,15,2333,0.9064129254962621,high
player19,10087,31,4,10,1683,0.3915822810360621,high
player20,81051,27,0,13,4321,0.3108377709363086,high
player21,97307,16,3,12,1349,0.4491510882047858,low
player22,68211,43,12,7,657,0.6959149184398996,high
player23,72011,37,15,13,300,0.37659324526424187,low
player24,76575,17,2,16,2239,0.514181196430807,high
player25,48057,41,12,12,3055,0.5453957464278633,high
player26,70733,16,12,13,1016,0.4327365812708853,medium
player27,37887,12,6,17,1227,0.5788208634218056,medium
player28,22220,7,5,18,861,0.6524556405752046,medium
player29,42444,34,6,8,3515,0.6455866998262543,high
player30,3826,47,13,10,4673,0.4496315216783957,high
player31,26526,28,16,6,3991,0.30312609310849203,low
player32,97628,5,7,17,3498,0.6895299910559083,high
player33,71236,36,19,8,4498,0.31906977752405996,low
player34,18739,27,15,12,3349,0.9475450821840347,medium
player35,10247,33,16,11,2761,0.01821318920250148,medium
player36,74071,17,0,2,3160,0.5223298589905985,medium
player37,30316,47,6,2,1741,0.007833679023634521,medium
player38,25911,6,2,15,1015,0.19075675722566576,medium
